100162,Luke Meredith,Australia,Crossfit St Marys,CrossFit St Marys,Male,23,168 cm,70 kg,--,--,--,--,--,--,--,--,--,--,--,--
100163,Juan Luna,Latin America,,Amsi CrossFit,Male,23,171 cm,150 lb,5:56,--,--,--,--,--,--,185 lb,135 lb,325 lb,--,--
100164,Cassie Mcfayden,Southern California,,Calimesa CrossFit,Female,30,--,--,--,--,3:10,--,--,--,--,125 lb,95 lb,245 lb,185 lb,10
100165,Agata Wojtaszek,Europe,,Reebok CrossFit Mokotow,Female,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100166,Christopher Strohl,South Central,Atomic CrossFit,Atomic CrossFit,Male,41,5'9",155 lb,7:54,10:22,--,--,--,2:00,--,--,135 lb,--,255 lb,--
100168,Carlie Chalmers,North East,Flower City CrossFit,Flower City CrossFit,Female,35,5'7",126 lb,--,--,--,--,--,--,--,--,--,225 lb,140 lb,--
100169,Nicole Lavarias,South Central,Sigma CrossFit,Sigma CrossFit,Female,32,5'7",134 lb,8:51,17:22,--,38:06,221,1:37,--,120 lb,90 lb,220 lb,165 lb,20
10017,Adam Daffron,,,,Male,26,6'0",193 lb,0:00,0:00,0:00,0:00,--,0:00,19:44,--,--,500 lb,315 lb,--
100170,Martin Leeland,Europe,,CrossFit Leicester,Male,44,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100173,Timothy Tucker,South West,Awesome CrossFit,Awesome CrossFit,Male,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100176,Sean Burns,North East,CF 781 Beasts,CrossFit 781,Male,29,5'11",178 lb,--,--,--,--,--,--,21:54,165 lb,135 lb,310 lb,255 lb,--
100179,Ron Kafri,Asia,,CrossFit Herzliya,Male,23,179 cm,80 kg,--,--,3:40,--,--,--,--,100 kg,78 kg,185 kg,144 kg,--
10018,Fame Varon,South East,Crossfit Ft Lauderdale,CrossFit Ft Lauderdale,Male,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100181,Josh Parsons,South West,,Unaffiliated,Male,23,6'1",214 lb,2:53,--,--,--,--,--,--,285 lb,210 lb,510 lb,435 lb,55
100185,McDavid Dobson,South West,Crossfit Infernal,CrossFit Infernal,Male,41,6'6",207 lb,5:48,10:11,4:32,25:58,322,1:14,24:14,185 lb,150 lb,345 lb,265 lb,32
100186,Audrey DiMarco,North Central,,CrossFit Manitowoc,Female,34,5'10",150 lb,--,--,--,--,--,--,--,--,--,--,--,--
100187,abel lara,South Central,Crossfit 915 Sport,CrossFit 915 East,Male,38,5'7",150 lb,--,--,--,--,--,--,--,--,--,--,--,--
100188,Tony Alfonzo,Northern California,Team CFP,CrossFit Pleasanton,Male,39,6'2",195 lb,3:38,8:31,2:55,22:45,--,--,--,--,185 lb,415 lb,--,--
100189,Tyler Hopta,South East,Peak 360 CrossFit,Peak 360 CrossFit,Male,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--
